ORIGINAL,REPLACEMENT,OCCURRENCE
CAPECITABINE-TABLET-1600 MG,CAPECITABINE,1
DARVOCET (DEXTROPOXYPHEN NAPSILATE+PARACETAMOL),ACETAMINOPHEN,1
ERGENYL CHRONO 500,VALPROIC ACID,1
MATOPROLOL,METOPROLOL,1
OXYCODONE ER (MFR: TEVA),OXYCODONE,1
INHIBIN,OMEPRAZOLE,13
"HEPARIN -FRACTION, SODIUM SALT",DALTEPARIN,1
NORTRIPYTYLINE HYDROCHLORIDE,NORTRIPTYLINE,1
TELMISARTAN (TELMISARTAN) (TA) (TELMISARTAN),TELMISARTAN,4
ADALAT CR (NIFEDIPINE) (TAD),NIFEDIPINE,3
ALCOHOL (ETHANOL) (NR),ETHANOL,1
CATAPRESAN DEPOT PERLONGETTEN (CLONIDINE) (KAP),CLONIDINE,1
DIBLOCIN 4 (DOXAZOSIN MESILATE) (TA),DOXAZOSIN,1
CATAPRESAN 150 (CLONIDINE) (TA),CLONIDINE,1
RANIGAST (RANITIDINE),RANITIDINE,1
CARVISKEN,PINDOLOL,12
BECOTIDE NASAL (BECLOMETASONE DIPROPIONATE),BECLOMETASONE DIPROPIONATE,1
GASTRO-PROTECTIVE DRUG,FAMOTIDINE,1
AMPHOTERICIN B LOZENGES,AMPHOTERICIN B,6
CARBAZOCHROME,CARBACHOL,89
(CAPECITABINE) - TABLET - 1650 MG,CAPECITABINE,3
(OXALIPLATIN) -SOLUTION - 130 MG/M2,OXALIPLATIN,1
OXALIPLATIN) - SOLUTION - 460 MG/M2,OXALIPLATIN,1
(OXALIPLATIN) - SOLUTION - 290 MG,OXALIPLATIN,2
CAPECITABINE) - TABLET - 1000 MG/M2,CAPECITABINE,1
BECLOFORTE INHALER,BECLOMETASONE DIPROPIONATE,3
LIPANTHNYL (FENOFIBRATE) CAPSULE 200MG,FENOFIBRATE,1
FLUVASTATIN SODIUIM (FLUVASTATIN SODIUM),FLUVASTATIN,1
"DETENSIEL (10 MG, TABLETS)(BISOPROLOL FUMARATE)",BISOPROLOL,1
GLUOPHAGE,METFORMIN,5
ACIPHEX (RABEPRAZOLE SODUIM),RABEPRAZOLE,1
LEVOTHYROXIDE SODIUM (LEVOTHYROXIDE SODIUM),LEVOTHYROXINE,1
ZIDOVUDINE W/LAMIVUDINE (LAMIVUDINE ZIDOVUDINE),ZIDOVUDINE,1
CARDENESIL,NICARDIPINE,1
COUMADIN (WARFARIN SDOIUM),WARFARIN,2
GLYCOMIN,GLYBURIDE,7
PANADO,ACETAMINOPHEN,70
"DAUNORUBICIN, UNKNOWN STRENGTH  AND MANUFACTURER",DAUNORUBICIN,1
ORAL STEROIDS,FLUOXYMESTERONE,47
RADEN,ERGOCALCIFEROL,99
DIURETIC DRUG,FUROSEMIDE,6
FERROUS SULFATE (FERROUS SULFATE) TABLET,IRON,6
TYLENOL 8 HOUR EXTENDED RELEASE PRODUCT,ACETAMINOPHEN,2
INSULIN (INSULIN) SOLUTION,INSULIN GLULISINE,3
CHLORTALIDONE (CHLORATALIDONE),CHLORTHALIDONE,1
"KOLANTYL (DICYCLOVERINE HYDROCHLORIDE, MAGNESIUM OXIDE, ALUMINIUM HYDR",DICYCLOMINE,2
"KOLANTYL (DICYCLOVERINE HYDROCHLORIDE, MAGNESIUM OXIDE, METHYLCELLULOS",DICYCLOMINE,10
CARVIPRESS,ATENOLOL,9
ROCLTROL,CALCITRIOL,1
FLUCTINE (FLUOXETINE HCL),FLUOXETINE,1
TOFISOPAM(TOFISOPAM),TOFISOPAM,1
EUGLUCAN,GLYBURIDE,10
NISOLDIPINE (NISOLDIPINE),NISOLDIPINE,20
EURODIN (ESTAZOLAM) TABLETS,ESTAZOLAM,1
OMEPRAZOLE (OMEPRAZOLE) TABLETS,OMEPRAZOLE,1
PENTASA (TABLETS) MESALAZINE) TABLETS,MESALAZINE,1
THALIDOMIDE - PHARMION (THALIDOMIDE) (CAPSULES),THALIDOMIDE,26
STOCRIN(EFAVIRENZ),EFAVIRENZ,1
ORAMORPH 9MORPHINE SULFATE),MORPHINE,1
CARDIZEM (DILTIZEM HYDROCHLORIDE),DILTIAZEM,1
ACTONAL,RISEDRONATE,2
CELECOXIB/PLACEBO,CELECOXIB,3
GUAIFENESIN WITH DESCONGESTANT,GUAIFENESIN,1
RITALIN (METHYLPHENIDATE HYDROCHJLORIDE),METHYLPHENIDATE,1
"ACETAMINOPHEN W/OXYCODONE(OXYCODONE HYDROCHLORIDE, PARACETAMOL)",ACETAMINOPHEN,1
INDAPAMINE,INDAPAMIDE,5
TOPOTECAN 0.75 MG/M2,TOPOTECAN,2
HYDROCHOLOROTHIAZIDE (HYDROCHLOROTHIAZIDE),HYDROCHLOROTHIAZIDE,2
"CYTOXAN , MEAD JOHNSON, 2 GRAM VIAL",CYCLOPHOSPHAMIDE,2
INSULIN LISPRIL SLIDING SCALE,INSULIN LISPRO,1
NITROGLYERIN,NITROGLYCERIN,6
PROPOXYPHENE /APAP 100 MG-600 MG,PROPOXYPHENE,1
METHAZOLAMIDE (METHAZOLAMIDE),METHAZOLAMIDE,7
OXALIPLATIN SANOFI-SYNTHELABO,OXALIPLATIN,2
HYDROXYPROPYL METHYLCELL,OXYPHENBUTAZONE,5
BCNU-70,CARMUSTINE,1
FLUVASTATIN 40MG,FLUVASTATIN,1
ROPINIROLE 2MG,ROPINIROLE,1
OXYCODONE HCL CR TABLETS (SIMILAR TO NDA) (OXYCODONE HYDROCHLORIDE) CR,OXYCODONE,1
LETROZOLE 2.5 MG NOVARTIS,LETROZOLE,1
STENTS,PHENOBARBITAL,2
DARVOCET-(DEXTROPROPOXYPHENE NAPSILATE),ACETAMINOPHEN,1
ATACAND/SWE/(CANDESARTAN CILEXETIL),CANDESARTAN,1
RANITIDIN ^ALIUD PHARMA^ (RANITIDINE HYDROCHLORIDE),RANITIDINE,1
CISPLATIN CHEMO,CISPLATIN,1
TOURO EX,GUAIFENESIN,3
MYTICON,MITOMYCIN,1
PEG-ASPARAGINASE,PEGASPARGASE,148
IMMRAN,AZATHIOPRINE,1
PRELONE,PREDNISOLONE,281
BRIMONIDINE OPTHALMIC,BRIMONIDINE,1
DEMEROL - PETHIDINE HYDROCHLORIDE - UNKNOWN - UNIT DOSE : UNKNOWN,MEPERIDINE,1
ATORVASTATIN - PFIZER 10 MG,ATORVASTATIN,1
ACETAMINEPHIN/DIPHENHYDRAMINE,ACETAMINOPHEN,1
HYDROCHOROTHIAZIDE,HYDROCHLOROTHIAZIDE,2
"VITAMINS A,B,C",FOLIC ACID,1
"ETHANOL (ETHANOL,",ETHANOL,1
TYLENOL ARTHRITIS PAIN (ACETAMINOPHEN),ACETAMINOPHEN,6
ULTRACEF (CEFADROXIL),CEFADROXIL,3
DIABETIC MEDICATION (DRUG USED IN DIABETES),GUAIFENESIN,3
ORGALUTRAN,HYDROXYZINE,31
PRENATE,ACEBUTOLOL,29
LOPRIL TABS 25 MG,CAPTOPRIL,15
VENA,DIPHENHYDRAMINE,174
METFORMIN (METFORMIN) (NR),METFORMIN,3
PIOGLITAZONE HYDROCHLORIDE (PIOGLITAZONE HYDROCHLORIDE),PIOGLITAZONE,13
LOGASTRIC,OMEPRAZOLE,32
DIETHYLCARBAMAZINE CITRATE,DIETHYLCARBAMAZINE,76
PIPORTIL,PIPOTIAZINE,43
NADROPARINE,NADROPARIN,57
UNISOM SLEEPGELS (DIPHENHYDRAMINE),DIPHENHYDRAMINE,18
INTERFERON-ALFA,INTERFERON BETA-1B,2
EFFEXOR (VENLAFAXINE HYDROCLORIDE) (TABLETS),VENLAFAXINE,1
LYSANXIA (PRAZEPAM) (TABLETS),PRAZEPAM,6
OESTRODOSE (ESTRADIOL) (CREAM),DIENESTROL,2
SPIRONOLACTONE (SPIRONOLACTONE) (TABLETS),SPIRONOLACTONE,1
UTROGESTRAN (PROGESTERONE) (CACHET),PROGESTERONE,2
ACETYLSALICYLIC ACID (NR),ACETYLSALICYLIC ACID,1
CORTICOSTEROIDS (CORTICOSTEROIDS) (NR),CORTICOTROPIN,1
BACTRIM (SULFAMETHOXAZOLE/TRIMTHOPRIME),SULFAMETHOXAZOLE,1
FASTURTEC- (RASBURICASE) - SOLUTION,RASBURICASE,1
WARFARIN SODIUM (WARFARAIN SODIUM),WARFARIN,1
TAMSULOSIN-HYDROCHLORIDE,TAMSULOSIN,2
"ALLERGENS, POLLEN + PLANT EXTRACT(ALLERENS, POLLEN + PLANT EXTRACT)",DIPHENYLPYRALINE,1
HEPARIN-SODIUM (HEPARIN),HEPARIN,1
IRINOTECAN(IRINOTECAN HYDROCHLORIDE),IRINOTECAN,4
"ANADIN  INTERNATIONAL CHEMICAL   (ACETYLSALICYLIC ACID, CAFFEINE, QUIN",IBUPROFEN,1
RITUXIMAB(RITUXIMAB),RITUXIMAB,31
SIBUTRAMINE (SIBUTRAMINE) (SIBUTRAMINE),SIBUTRAMINE,3
HUMALOG /GFR/,INSULIN LISPRO,3
PHILLIPS MILK OF MAGNESIA LIQUID,PHENOLPHTHALEIN,4
ENAPRIL,BENAZEPRIL,37
CHOLESTEROL AND TRIGLYCERIDES REDUCERS (CHOLESTEROL AND TRIGLYCERIDE R,LOVASTATIN,1
CYANOCOBALAMIN (CYANCOBALAMIN),CYANOCOBALAMIN,1
PHENOL (PHENOL),PHENOL,14
"PROPACET (PARACETAMOL, DEXTROPROPXYPHENE NAPSILATE)",PROPOXYPHENE,1
TIAGABINE HYDROCHLORIDE (TIAGABINE HYDROCHLORIDE),TIAGABINE,29
TROGLITAZONE (TROGLITAZONE),TROGLITAZONE,8
METYHYLPREDNISOLONE,METHYLPREDNISOLONE,1
PEMALOR,NORTRIPTYLINE,1
OM,OMEPRAZOLE,7
"MAALOX (MAGNESIUM HYDROXIDE, ALUMINUM HYDROXIDE GEL)",BISMUTH SUBSALICYLATE,7
PIPERACILLIN SODIUM W/TAZAOBACTAM SODIUM (PIPERACILLIN SODIUM  TAZOBAC,PIPERACILLIN,1
RHINATHIOL,OXYMETAZOLINE,12
CATAPRES (CLONIDIPINE),CLONIDINE,3
CHLORPHENIRAMINE+DEXTROMETHORPHAN+PSEUDOEPHEDRINE (CHLORPHENIRAMINE/PS,CHLORPHENIRAMINE,1
HYDROXYCHLOROQUINE SULFATE (PLAQUENIL),HYDROXYCHLOROQUINE,5
NIFEDIPINE LA,NIFEDIPINE,8
HIDROSMIN,ETHACRYNIC ACID,18
DALACINE - PER ORAL,CLINDAMYCIN,2
HYZAAR (TABLETS) HYZAAR,LOSARTAN,1
BACTROBAN (MUPIROCIN OINT),MUPIROCIN,1
BENADRYL (DIPHENHYDRAMINE HCL),DIPHENHYDRAMINE,2
HYDROCORTISONE CREAM 1%,HYDROCORTISONE,2
PEPCID (FAMOTIDINE 40 MG/5 ML),FAMOTIDINE,1
PRINIVIL (LISINOPRIL 1MG/1ML),LISINOPRIL,1
TRIAMCINOLONE CREAM 0.1%,TRIAMCINOLONE,5
BUSULPHAN (FORMULATION UNKNOWN) (GENERIC),BUSULFAN,6
FENTANYL ^DAKOTA PHARM^ (FENTANYL),FENTANYL,2
SECTRAL ^RHONE-POULENC RORER^,ACEBUTOLOL,4
TRANDATE (LABETOLOL HYDROCHLORIDE),LABETALOL,2
DISTILBENE (DIETHYLSTILBESTROL),DIETHYLSTILBESTROL,5
FUROSEMIDE 20,FUROSEMIDE,3
BUSULPHAN (FORMULATION UNKNOWN) (GENERIC) (BUSULFAN),BUSULFAN,40
"CISPLATINUM(CISPLATIN) SOLUTION, STERILE",CISPLATIN,1
ATORVASTATIN     (ATORVASTATIN),ATORVASTATIN,1
GLICLAZIDE    (GLICLAZIDE),GLICLAZIDE,1
CAPTOPRIL ^BRISTOL-MYERS SQUIBB^,CAPTOPRIL,2
FORTRECORTIN,DEXAMETHASONE,1
TOPOTECAN HYDROCHLORIDE (FORMULATION UNKNOWN) (GENERIC) (TOPOTECAN),TOPOTECAN,12
RIBALL,ALLOPURINOL,68
INDOMETACIN CREAM,INDOMETHACIN,3
ONE ALPHA (VITAMIN D),ALFACALCIDOL,2
QUIBRON-300,THEOPHYLLINE,1
QUIBRON,THEOPHYLLINE,14
BOSENTAN TABLET 125 MG (BOSENTAN) TABLET,BOSENTAN,1
CEFDITOREN PIVOXIL (CEFDITOREN),CEFDITOREN,1
LONOLOX (MINOXIDIL),MINOXIDIL,6
NITRENDEPAT,NITRAZEPAM,5
VESDIL /GFR/(RAMIPRIL),RAMIPRIL,1
TENOFOVIR (FORMULATION UNKNOWN) (TENOFOVIR),TENOFOVIR,16
ALOPAM,ALLOPURINOL,75
AMILORIDE HYDROCHLORIDE (+) FUROSEMIDE,AMILORIDE,8
NOVORAPID (INSULIN ASPART) SOLUTION FOR INJECTION,INSULIN ASPART,1
PROHEPAR,CYCLOBENZAPRINE,4
RIBOFLAVIN TETRABUTYRATE,RIBOFLAVIN,31
CHLORAMBUCIL (FORMULATION UNKNOWN) (CHLORAMBUCIL),CHLORAMBUCIL,2
CORTISONE (FORMULATION UNKNOWN) (CORTISONE),HYDROCORTISONE,1
ISOFLURANCE 1%,ISOFLURANE,1
MINOPHAGEN C,L-ARGININE,56
TYLENOL 8 HOUR EXTENDED RELEASE,ACETAMINOPHEN,5
PROMETAZINE,PROMETHAZINE,12
TYLENOL ANALGESIC (ACETAMINOPHEN),ACETAMINOPHEN,3
SOTALOL (SOTALOL HYDROCHLORIDE)TABLET,SOTALOL,1
TYLENOL ANALGESIC UNKNOWN (ACETAMINOPHEN),ACETAMINOPHEN,1
NIMESULIDE (MIMESULIDE),NIMESULIDE,1
FENPROPOREX,ETHOPROPAZINE,8
PRINIVIL (LISNIOPRIL HCL),LISINOPRIL,1
PROCRIT (EPOETIN ALPHA),EPOETIN ALFA,1
CANDESARTAN (CANSESARTAN),CANDESARTAN,1
PRAMIEL,METOCLOPRAMIDE,19
VALACICLOVIR HDYROCHLORID,VALACICLOVIR,1
CETAMOLOL,ACETAMINOPHEN,1
(PANTOPRAZOLE (PANTOPRAZOLE),PANTOPRAZOLE,1
LOREZEPAM,LORAZEPAM,21
BLOKIUM,ATENOLOL,28
LUMIGAR,BIMATOPROST,3
PANCREASE (PANCREALIPASE) UNSPECIFIED,PANCRELIPASE,1
CIFLOX (CIPROFLOXACIN0,CIPROFLOXACIN,1
DALACIN(CLINDAMYCIN HYDROCHLORIDE),CLINDAMYCIN,1
ALLOPUR,ALLOPURINOL,48
METFORMIN (METFORMIN) TABLETS,METFORMIN,4
AMINOHIPPURATE SODIUM,AMINOHIPPURATE,4
CEFADROXILA,CEFADROXIL,1
NIFLURIL (NIFLUMIC ACID),NIFLUMIC ACID,9
ALSIODOL (ALFACALCIDOL),ALFACALCIDOL,2
RISEDRONIC ACID,RISEDRONATE,255
PAMIDRONATE DISODIUM (PAMIDRONATE SODIUM),PAMIDRONATE,3
AMLODIPINE BESIALTE (AMLODIPINE BESILATE),AMLODIPINE,1
CARBOCAL D (TUMS ; OLD FORM; ),MEPIVACAINE,1
CARBOPLATIN (CARBOPLATIN) SOLUT,CARBOPLATIN,2
AZELASTINE HYDROCHLORIDE (AZELASTINE HYDROCHLORIDE),AZELASTINE,18
CYCLOPENTHIAZIDE (CYCLOPENTHIAZIDE,CYCLOPENTOLATE,1
WARFARIN POTASSIUM (WARFARIN POTASSIUIM),WARFARIN,1
METABOLIFE 356,OXYPHENBUTAZONE,8
EPANUTIN INFATABS (PHENYTOIN SODIUM),PHENYTOIN,3
GATIFLO TABS,GATIFLOXACIN,47
TALION,THALIDOMIDE,410
HALDOL ^MCNEIL^ (HALOPERIDOL),HALOPERIDOL,4
"NORDITROPIN SIMPLEXX (SOMATROPIN) SOLUTION FOR INJECTION, 3.3 MG/ML",SOMATROPIN RECOMBINANT,2
LEVOYXL,LEVOTHYROXINE,1
PRESOLONE,PREDNISONE,3
REDUCTIL 10MG (MERIDIAN) (SIBUTRAMINE) (SIBUTRAMINE),SIBUTRAMINE,1
CALCIUM ACETYLSALICYLATE,CALCIUM ACETATE,1
CORTICOID OINTMENT,CORTICOTROPIN,1
STAMARIL,FOSINOPRIL,27
DOLOVISANO,INDOMETHACIN,3
CLEOCIN GEL,CLINDAMYCIN,14
EXTRA STRENGTH TYLENOL CAPLETS (ACETAMINOPHEN),BISMUTH SUBSALICYLATE,1
OXY CLEAN,PHENYTOIN,1
DETANOL R,TOLTERODINE,2
NEBILOX,NEBIVOLOL,139
METOPROLOL ^STADA^,METOPROLOL,5
NU-SEALS,ACETYLSALICYLIC ACID,49
DIURETIC (DIURETICS) UNSPECIFIED,FUROSEMIDE,1
NILUTAMIDE (NILUTAMIDE),NILUTAMIDE,2
TRICORE,FENOFIBRATE,17
CLARINEX /USA/,DESLORATADINE,65
ISORBID,ISOSORBIDE DINITRATE,72
PROCARDIA (ER),NIFEDIPINE,1
VALIUM/NET/ (DIAZEPAM),DIAZEPAM,2
PREDNSIONE(PREDNISONE),PREDNISONE,1
MONOXADIL,AMOXAPINE,2
ALDACTAZIDE (ALDACTAZIDE),SPIRONOLACTONE,2
LEVATOL (PENBUTOLOL SULFATE) (10 MILLIGRAM),PENBUTOLOL,2
DILACOR XR (DILTIAZEM HYDROCHLORIDE),DILTIAZEM,7
ENDURONYL (DESERPIDINE/METHYCHLOTHIAZIDE),METHYCLOTHIAZIDE,1
DOCETAZEL (DOCETAXEL),DOCETAXEL,1
CYPROHEPTADINE (CYPROHEPATADINE),CYPROHEPTADINE,1
FLUTICASNE (FLUTICASONE),FLUTICASONE FUROATE,1
HEPSERA (ADEFOVIR DIPIVOXIL),ADEFOVIR DIPIVOXIL,1
URSO (URODEOXYCHOLIC ACID),URSODEOXYCHOLIC ACID,1
FENTANY (FENTANYL),FENTANYL,2
GEMCITABINE(GEMCITABINE (GEMCITABINE) (UNKNOWN),GEMCITABINE,1
ZOFRAN (ONDANSETRON HYDROCHLORIED),ONDANSETRON,1
CLAFERAN,CYCLOPHOSPHAMIDE,1
VELCADE                                 /USA/,BORTEZOMIB,1
DELACORT,HYDROCORTISONE,5
VOTUM,OLMESARTAN,96
GLYCONITRON (GLYCERYL TRINITRATE),TOLBUTAMIDE,1
NITROPRUSSIDE SODIUM (NITROPRUSSIDE SODIUM),NITROPRUSSIDE,1
PHENYLEPHRINE (PHENYLEPHRINE),PHENYLEPHRINE,85
PLASMA (PLASMA),COAGULATION FACTOR IX,5
DROTRECOGIN ALPHA (XIGRIS),DROTRECOGIN ALFA,1
DAFORIN,NITISINONE,43
FLUMOX,FLURAZEPAM,6
NYSTATIN MOUTHWASH,NYSTATIN,20
PERIDEX MOUTHWASH,CHLORHEXIDINE,14
ASTHMAHALER (EPINEPHRINE BITARTRATE),EPINEPHRINE,3
DYRENIUM (TRIAMTERENE),TRIAMTERENE,14
WELLBUTRIN (ANFEBUTAMONE HYDROCHLORIDE),BUPROPION,1
CIPROFLOXACIN (CLPROFLOXACIN),CIPROFLOXACIN,1
NADROPARIN CALCIUM (NADROPARIN CALCIUM),NADROPARIN,18
MAGNESIUM VERLA TABLETTEN (MAGNESIUM HYDROGEN ASPARTATE),MAGNESIUM SULFATE,1
EXOCIN (OFLOXACIN),OFLOXACIN,6
DEXADRINE,DEXTROAMPHETAMINE,26
OFTAN,SALBUTAMOL,5
ATROPINE 0.125/ DIPHENOXYLATE,ATROPINE,1
FLUVASTATIN NA (LESCOL),FLUVASTATIN,1
COTRIMOXAZOLE 16/80 MG,TRIMETHOPRIM,1
CLOPIDROGEL,CLOPIDOGREL,24
TOLTERADINE LA,TOLTERODINE,1
AZULFIDINE EN (SULFASALAZINE) UNKNOWN,SULFASALAZINE,1
NORIMIN (ETHINYLESTRADIOL/NORETHISTERONE),NORETHINDRONE,1
IMOVANE (ZOPLICLONE),ZOPICLONE,3
WARFARIN POTASSIUM (WARFRIN POTASSIUM),WARFARIN,1
BUFFERIN /JPN/ (TABLETS),ACETYLSALICYLIC ACID,1
KETOPROFEN (POULTICE OR PATCH),KETOPROFEN,1
TIMOLOL MALEATE (EYE DROPS),TIMOLOL,2
ADCORTYL,TRIAMCINOLONE,12
PROTNIX,PANTOPRAZOLE,4
VITAMINS/MINERALS/DIETARY SUPPLEMENTS,VITAMIN E,5
PLATELET (DIPYRIDAMOLE),BECAPLERMIN,19
FORMICIN,CETIRIZINE,1
ETANERCEPT (ETANERCEPT) INJECTION,ETANERCEPT,1
ANTAGON,CHLORPHENIRAMINE,1
ALOSENN (),ALOSETRON,1
SARLIX,NATEGLINIDE,3
DEXTROAMPHETAMINE 10 MG TAB- BARR,DEXTROAMPHETAMINE,1
GLIPIZIDE ER 10MG ANDRX,GLIPIZIDE,1
ETANERCEPT - BLINDED,ETANERCEPT,11
CALCIPOTRIENE OINT,CALCIPOTRIOL,2
OXYBUTRIN,OXYBUTYNIN,25
PROPIONATE NASAL SPRAY,PROPIOMAZINE,1
TRIAMCINOLONE OINTMENT,TRIAMCINOLONE,9
HYDROXYCHLOROQUINE PHOSPHATE (HYDROXYCHLOROQUINE PHOSPHATE),HYDROXYCHLOROQUINE,19
INTERFERON ALFA(INTERFERON ALFA),INTERFERON BETA-1B,7
ALBUTEROL ORAL INHALER,SALBUTAMOL,6
BRIMONIDINE OPTH SOLUTION,BRIMONIDINE,1
CLOPDIOGREL TAB,CLOPIDOGREL,1
TIMOLOL-XE,TIMOLOL,1
SELECTIVE SEROTONIN REUPTAKE INHIBITOR,PRAVASTATIN,26
ESTRADIOL PATCH,ESTRADIOL,28
ISOKET 20,ISOSORBIDE DINITRATE,7
BENZOTROPINE,BENZATROPINE,105
ENATEC,KETOPROFEN,72
STEROGL (HYDROQUINONE),ERGOCALCIFEROL,1
VOLDAL (DICLOFENAC SODIUM),DICLOFENAC,1
RHEUMATREX (METHOTREXATE SODIUM) CAPSULE,METHOTREXATE,1
MORPHINE PCA (MORPHINE),MORPHINE,1
CARACE,FLUOROURACIL,14
HUMALOG NPL PEN,INSULIN LISPRO,4
BISOPRODOL,BISOPROLOL,3
CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,CANDESARTAN,361
(CAPECITABINE) - TABLET - 850 MG/M,CAPECITABINE,1
CHOLESTEROL-AND TRIGLYCERIDES REDUCERS,LOVASTATIN,2
APOMORPHINE HYDROCHLORIDE,APOMORPHINE,25
NITROGLYCERIN ^NIHON KAYAKU^,NITROGLYCERIN,1
LAMIVUDINE (3TC) ORALS,LAMIVUDINE,1
TENOFOVIR (PMPA) ORALS,TENOFOVIR,1
PIRBUTEROL AUTOHALER,PIRBUTEROL,1
"CALCITROL (CALCIUM CARBONATE, ERGOCALCIFEROL, RETINOL)",CALCITRIOL,38
ANIRACETAM (ANIRACETAM),ANIRACETAM,1
NEOSTIGMINE (NEOSTIGMINE),NEOSTIGMINE,68
PROFENAMINE (PROFENAMINE),ETHOPROPAZINE,2
TRIHEXYPHENIDYL HYDROCHLORIDE (TRIHEXYPHENIDIL HYDROCHLORIDE),TRIHEXYPHENIDYL,1
BARBITAL (BARBITAL),PHENOBARBITAL,2
PEGASPARGENASE 3600 U IM,PEGASPARGASE,1
LEPONEX (CLOZAPINE) (CLOZAPINE),CLOZAPINE,4
PULMICORD (BUDESONIDE),BUDESONIDE,1
1-METHIONINE,L-METHIONINE,1
LEVODOPA/BENSERAZIDE,LEVODOPA,38
ASPIRIN (ACETYLSALICYLIC ACJD),ACETYLSALICYLIC ACID,1
SILDENAFL,SILDENAFIL,1
"PROMETHAZINE VC W/CODEINE (PROMETHAZINE HYDROCHLORIDE, PHENYLEPHRINE H",PROMETHAZINE,1
"PROMETHAZINE W/CODEINE (PROMETHAZINE, CODEINE)",PROMETHAZINE,1
"DIHYDROCODEINE/CAFFEINE/ACETAMINOPHEN (PARACETAMOL, CAFFEINE, DIHYDROC",DIHYDROCODEINE,2
CANESTEN FLUCONAZOLE ORAL CAPSULE (FLUCONAZOLE),CLOTRIMAZOLE,1
IRINOTECAN PHARMACIA/PFIZER,IRINOTECAN,2
FAMIR,FAMCICLOVIR,2
QUININE SUILFATE (QUININE SULFATE),QUININE,1
ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN,93
LITHIUM (LITHIUM) 300 MG,LITHIUM,1
"REBETOL (RIBAVIRIN) CAPSULE, 800 MCG",RIBAVIRIN,1
EPHEDRINE MULTI-ACTION 25 MG EPHEDRINE PROACTIVE LABS INC,EPHEDRINE,1
ACTPS,PIOGLITAZONE,1
ALOSETRON 1 MG,ALOSETRON,1
COLYTE,CARBACHOL,29
AETAMINOPHEN,ACETAMINOPHEN,2
DINYL,GUAIFENESIN,1
FLUORESCITE,FLUORESCEIN,184
LIQUAEMIN INJ,HEPARIN,108
TAZOBAC (PIPERACILLIN),TAZOBACTAM,1
RETICOLAN,DIENESTROL,47
CLARICID,LORATADINE,16
"PHENYLEPHRINE HYDROCHLORIDE OPHTHALMIC SOLUTION USP, 2.5%",PHENYLEPHRINE,8
"PHENYLEPHRINE HYDROCHLORIDE OPTHALMIC SOLUTION USP, 2.5%",PHENYLEPHRINE,1
"INFLIXIMAB           (INFLIXIMAB, RECOMBINANT)",INFLIXIMAB,1
CELEBREX 9CELECOXIB),CELECOXIB,5
PREMARIN (ESTROGENS CONUUGATED),CONJUGATED ESTROGENS,1
AMILORIDE W/HYDROCHLOROTHIAZIDE (AMILORIDE),AMILORIDE,1
"CIFLOX (CIPROFLOXACIN, , 0)",CIPROFLOXACIN,6
ADRENALIN           NM PHARMA (ADRENALIN),EPINEPHRINE,1
ADRENALIN    (EPINEPHR INE),EPINEPHRINE,1
CETIRIZIN,CETIRIZINE,45
TEMOZOLOMIDE    (TEMOZOLOMIDE),TEMOZOLOMIDE,1
GEFITINIB 250 MG ASTRA ZENECA,GEFITINIB,1
TRIAMTRINE,TRIAMTERENE,1
ACETAMINOPHEN (PRN),ACETAMINOPHEN,4
VITAMIN E (1000IU BID),VITAMIN E,1
ACETYLLEUCINE,ACETYLSALICYLIC ACID,20
LACTASE,LACTULOSE,75
CEFPROZIL SYRUP,CEFPROZIL,1
TYLENOL (PARACETAMOL) TABLETS,ACETAMINOPHEN,2
CLOPIDOGREL BISULFATE (CLOPIDOGREL),CLOPIDOGREL,3
PROSTAMED,DINOPROSTONE,7
LOWASTEROL,LOVASTATIN,2
NITROGLYCERINE (GLYCERYL TRINITRATE) PATCH,NITROGLYCERIN,2
PREDONINE (PREDNISOLOLONE),PREDNISOLONE,1
SULFADINE (SULFADIMIDINE),SILVER SULFADIAZINE,2
HIDROCORTISONE,HYDROCORTISONE,3
FUROSEMIDE ^RATIOPHARM^,FUROSEMIDE,9
DERMOVATE (CLOBETASOL PROPIONATE),CLOBETASOL,3
GM-CSF,SARGRAMOSTIM,113
CIPROXAN          (CIPROFLOXACIN HYDROCHLORIDE),CIPROFLOXACIN,1
PROCYCLIN,PROCYCLIDINE,6
TALACEN (FORTAGESIC),ACETAMINOPHEN,5
FUROSEMIDE 20 MG MYLAN,FUROSEMIDE,1
FUROSEMIDE 20 MG SANDOZ-GENEVA GENERICS,FUROSEMIDE,1
RITONAVIR SOFT GELATIN CAPSULES (NORVIR) (RITONAVIR),RITONAVIR,17
"OMALIZUMAB (OMALIZUMAB) PWDR + SOLVENT, INJECTION SOLN, 150MG",OMALIZUMAB,26
ACIPHEX (RABEPRAZOLE SODIUIM),RABEPRAZOLE,3
CODEINE  PHOSPHATE,CODEINE,1
ROHYPNOL   (FLUNITRAZEPAM),FLUNITRAZEPAM,1
CHLOROPHYLLIN SODIUM COPPER COMPLEX (CHLOROPHYLLIN SODIUM COPPER COMPL,CHLORPHENIRAMINE,2
GRAVOL TABLETS,DIMENHYDRINATE,2
PARKEMED (MEFENAMIC ACID),MEFENAMIC ACID,7
PARACETAMOL PRE/POST INJ.,ACETAMINOPHEN,1
